age	job	marital	education	default	balance	housing	loan	contact	duration	campaign	previous	y
58	management	married	tertiary	no	2143	yes	no	unknown	261	1	0	no
44	technician	single	secondary	no	29	yes	no	unknown	151	1	0	no
47	blue-collar	married	unknown	no	1506	yes	no	unknown	92	1	0	no
33	unknown	single	unknown	no	1	no	no	unknown	198	1	0	no
35	management	married	tertiary	no	231	yes	no	unknown	139	1	0	no
58	retired	married	primary	no	121	yes	no	unknown	50	1	0	no
43	technician	single	secondary	no	593	yes	no	unknown	55	1	0	no
29	admin.	single	secondary	no	390	yes	no	unknown	137	1	0	no
53	technician	married	secondary	no	6	yes	no	unknown	517	1	0	no
58	technician	married	unknown	no	71	yes	no	unknown	71	1	0	no
57	services	married	secondary	no	162	yes	no	unknown	174	1	0	no
45	admin.	single	unknown	no	13	yes	no	unknown	98	1	0	no
57	blue-collar	married	primary	no	52	yes	no	unknown	38	1	0	no
60	retired	married	primary	no	60	yes	no	unknown	219	1	0	no
33	services	married	secondary	no	0	yes	no	unknown	54	1	0	no
28	blue-collar	married	secondary	no	723	yes	yes	unknown	262	1	0	no
56	management	married	tertiary	no	779	yes	no	unknown	164	1	0	no
32	blue-collar	single	primary	no	23	yes	yes	unknown	160	1	0	no
25	services	married	secondary	no	50	yes	no	unknown	342	1	0	no
40	retired	married	primary	no	0	yes	yes	unknown	181	1	0	no
44	admin.	married	secondary	no	-372	yes	no	unknown	172	1	0	no
39	management	single	tertiary	no	255	yes	no	unknown	296	1	0	no
52	entrepreneur	married	secondary	no	113	yes	yes	unknown	127	1	0	no
46	management	single	secondary	no	-246	yes	no	unknown	255	2	0	no
36	technician	single	secondary	no	265	yes	yes	unknown	348	1	0	no
57	technician	married	secondary	no	839	no	yes	unknown	225	1	0	no
60	admin.	married	secondary	no	39	yes	yes	unknown	208	1	0	no
57	technician	divorced	secondary	no	63	yes	no	unknown	242	1	0	no
53	technician	married	secondary	no	-3	no	no	unknown	1666	1	0	no
36	admin.	divorced	secondary	no	506	yes	no	unknown	577	1	0	no
37	admin.	single	secondary	no	0	yes	no	unknown	137	1	0	no
50	management	married	secondary	no	49	yes	no	unknown	180	2	0	no
60	blue-collar	married	unknown	no	104	yes	no	unknown	22	1	0	no
54	retired	married	secondary	no	529	yes	no	unknown	1492	1	0	no
58	retired	married	unknown	no	96	yes	no	unknown	616	1	0	no
36	admin.	single	primary	no	-171	yes	no	unknown	242	1	0	no
58	self-employed	married	tertiary	no	-364	yes	no	unknown	355	1	0	no
44	technician	married	secondary	no	0	yes	no	unknown	225	2	0	no
55	technician	divorced	secondary	no	0	no	no	unknown	160	1	0	no
29	management	single	tertiary	no	0	yes	no	unknown	363	1	0	no
54	blue-collar	married	secondary	no	1291	yes	no	unknown	266	1	0	no
48	management	divorced	tertiary	no	-244	yes	no	unknown	253	1	0	no
32	management	married	tertiary	no	0	yes	no	unknown	179	1	0	no
42	admin.	single	secondary	no	-76	yes	no	unknown	787	1	0	no
24	technician	single	secondary	no	-103	yes	yes	unknown	145	1	0	no
